         151919 function calls (145200 primitive calls) in 1.406 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.034    0.034 <string>:1(<module>)
     1070    0.001    0.000    0.001    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FileResponse)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        7    0.008    0.001    0.052    0.007 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1001(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1007(__init__)
        1    0.004    0.004    0.007    0.007 __init__.py:101(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
       27    0.000    0.000    0.006    0.000 __init__.py:102(resolve)
        1    0.000    0.000    0.000    0.000 __init__.py:1025(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1031(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1037(append)
        1    0.000    0.000    0.000    0.000 __init__.py:106(Library)
        1    0.000    0.000    0.000    0.000 __init__.py:1069(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1085(getLogger)
        2    0.007    0.004    0.011    0.006 __init__.py:11(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1136(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1177(Logger)
        5    0.000    0.000    0.000    0.000 __init__.py:1192(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1204(setLevel)
       15    0.000    0.000    0.005    0.000 __init__.py:1281(log)
       15    0.000    0.000    0.000    0.000 __init__.py:1298(findCaller)
        1    0.001    0.001    0.001    0.001 __init__.py:13(<module>)
       15    0.000    0.000    0.001    0.000 __init__.py:1328(makeRecord)
        1    0.000    0.000    0.369    0.369 __init__.py:133(quickstart)
       15    0.000    0.000    0.004    0.000 __init__.py:1343(_log)
       15    0.000    0.000    0.003    0.000 __init__.py:1366(handle)
        6    0.000    0.000    0.000    0.000 __init__.py:1376(addHandler)
        1    0.012    0.012    0.075    0.075 __init__.py:14(<module>)
       15    0.000    0.000    0.003    0.000 __init__.py:1420(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:143(SymbolCollection)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       15    0.000    0.000    0.000    0.000 __init__.py:1450(getEffectiveLevel)
       15    0.000    0.000    0.000    0.000 __init__.py:1464(isEnabledFor)
       15    0.000    0.000    0.000    0.000 __init__.py:148(getLevelName)
        1    0.000    0.000    0.000    0.000 __init__.py:1491(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1505(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:156(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:166(_Serving)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        4    0.000    0.000    0.000    0.000 __init__.py:1693(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
       16    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1819(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:182(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:184(ILF)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(_ThreadLocalProxy)
        9    0.000    0.000    0.000    0.000 __init__.py:200(get_symbol)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:203(__init__)
       61    0.000    0.000    0.000    0.000 __init__.py:206(__getattr__)
       17    0.000    0.000    0.000    0.000 __init__.py:206(_acquireLock)
